video_id,channel_title
Jw1Y-zhQURU                                                                                                                                                                                                                                                    ,John Lewis                                                                                                                                                                                                                                                     
3s1rvMFUweQ                                                                                                                                                                                                                                                    ,Saturday Night Live                                                                                                                                                                                                                                            
n1WpP7iowLc                                                                                                                                                                                                                                                    ,EminemVEVO                                                                                                                                                                                                                                                     
PUTEiSjKwJU                                                                                                                                                                                                                                                    ,Salford City Football Club                                                                                                                                                                                                                                     
rHwDegptbI4                                                                                                                                                                                                                                                    ,Cute Girl Videos                                                                                                                                                                                                                                               
AumaWl0TNBo                                                                                                                                                                                                                                                    ,PointlessBlogVlogs                                                                                                                                                                                                                                             
2Vv-BfVoq4g                                                                                                                                                                                                                                                    ,Ed Sheeran                                                                                                                                                                                                                                                     
-N5eucPMTTc                                                                                                                                                                                                                                                    ,MoreZoella                                                                                                                                                                                                                                                     
LMCuKltaY3M                                                                                                                                                                                                                                                    ,ElbowVEVO                                                                                                                                                                                                                                                      
9t9u_yPEidY                                                                                                                                                                                                                                                    ,JenniferLopezVEVO                                                                                                                                                                                                                                              
ONQ-fAp5X64                                                                                                                                                                                                                                                    ,Nile Wilson                                                                                                                                                                                                                                                    
Dlwf5u2BLAg                                                                                                                                                                                                                                                    ,Inside Edition                                                                                                                                                                                                                                                 
NVCqz2BDfcQ                                                                                                                                                                                                                                                    ,OfficialGucciMane                                                                                                                                                                                                                                              
MyEqfBkzESU                                                                                                                                                                                                                                                    ,John Maclean                                                                                                                                                                                                                                                   
b4vTZx_AtHk                                                                                                                                                                                                                                                    ,HowToBasic                                                                                                                                                                                                                                                     
BsfhHKx6ajA                                                                                                                                                                                                                                                    ,Good Mythical Morning                                                                                                                                                                                                                                          
DIU3xPdhCBI                                                                                                                                                                                                                                                    ,BBC Music                                                                                                                                                                                                                                                      
pz95u3UVpaM                                                                                                                                                                                                                                                    ,CamilaCabelloVEVO                                                                                                                                                                                                                                              
jp9hK-jY6yY                                                                                                                                                                                                                                                    ,IISuperwomanII                                                                                                                                                                                                                                                 
gEHCXl4J9Qo                                                                                                                                                                                                                                                    ,ABC Television Network                                                                                                                                                                                                                                         
OWvCCu2t6Ts                                                                                                                                                                                                                                                    ,Sprinkleofglitter                                                                                                                                                                                                                                              
6p-QzY5bxJ0                                                                                                                                                                                                                                                    ,The Late Late Show with James Corden                                                                                                                                                                                                                           
fiusxyygqGk                                                                                                                                                                                                                                                    ,marshmello                                                                                                                                                                                                                                                     
QOksZ8VogRw                                                                                                                                                                                                                                                    ,Atlantic Records                                                                                                                                                                                                                                               
lo5ERI5nPbM                                                                                                                                                                                                                                                    ,Sharon Needles                                                                                                                                                                                                                                                 
Ja_GMU7-sjs                                                                                                                                                                                                                                                    ,Marques Brownlee                                                                                                                                                                                                                                               
_6ViZ13mN9I                                                                                                                                                                                                                                                    ,TMZSports                                                                                                                                                                                                                                                      
F62QpaPWXDI                                                                                                                                                                                                                                                    ,Jamie Genevieve                                                                                                                                                                                                                                                
g5c1bk8weaQ                                                                                                                                                                                                                                                    ,Liza Koshy                                                                                                                                                                                                                                                     
3qYt_fXdaXY                                                                                                                                                                                                                                                    ,Foolmarkt                                                                                                                                                                                                                                                      
Y5MqpKlKiSM                                                                                                                                                                                                                                                    ,Gabriella Lindley                                                                                                                                                                                                                                              
xg9ebVTL9yE                                                                                                                                                                                                                                                    ,empireofthesunvevo                                                                                                                                                                                                                                             
J_QGZspO4gg                                                                                                                                                                                                                                                    ,SiaVEVO                                                                                                                                                                                                                                                        
cUtYh_ZUjqc                                                                                                                                                                                                                                                    ,British Vogue                                                                                                                                                                                                                                                  
E7ykb1geOoU                                                                                                                                                                                                                                                    ,Novara Media                                                                                                                                                                                                                                                   
pHE8nIB6j2U                                                                                                                                                                                                                                                    ,chayanneVEVO                                                                                                                                                                                                                                                   
dwkNG9qeYIY                                                                                                                                                                                                                                                    ,UK Bike Skills                                                                                                                                                                                                                                                 
z7VBtM7clT4                                                                                                                                                                                                                                                    ,MTV International                                                                                                                                                                                                                                              
7fm7mll2qvg                                                                                                                                                                                                                                                    ,SigridVEVO                                                                                                                                                                                                                                                     
QFfEtKvXMAs                                                                                                                                                                                                                                                    ,NiallHoranVEVO                                                                                                                                                                                                                                                 
6RyOsIseJbk                                                                                                                                                                                                                                                    ,John Conforti                                                                                                                                                                                                                                                  
qEEtzzi1EII                                                                                                                                                                                                                                                    ,Simon's Cat                                                                                                                                                                                                                                                    
rL4WkebTT_U                                                                                                                                                                                                                                                    ,Abroad in Japan                                                                                                                                                                                                                                                
8l_e6bx8UG8                                                                                                                                                                                                                                                    ,RemyMaVEVO                                                                                                                                                                                                                                                     
N8U2EPiEbZo                                                                                                                                                                                                                                                    ,Lydia Elise Millen                                                                                                                                                                                                                                             
iNsTzqwwioY                                                                                                                                                                                                                                                    ,Life Noggin                                                                                                                                                                                                                                                    
9GqL1DSQDL0                                                                                                                                                                                                                                                    ,makeupbymichaelfinch                                                                                                                                                                                                                                           
OGKchfcd-5w                                                                                                                                                                                                                                                    ,Power 106 Los Angeles                                                                                                                                                                                                                                          
44NYFvhXmW8                                                                                                                                                                                                                                                    ,ThirtySecondsToMarsVEVO                                                                                                                                                                                                                                        
RYs08kX3Ih4                                                                                                                                                                                                                                                    ,MsAaliyahJay                                                                                                                                                                                                                                                   
nnrkPRApQg8                                                                                                                                                                                                                                                    ,E! Entertainment                                                                                                                                                                                                                                               
eHIY3HNNqzM                                                                                                                                                                                                                                                    ,TheScriptVEVO                                                                                                                                                                                                                                                  
