video_id,viewse,comment_count,likes,dislikes
Jw1Y-zhQURU                                                                                                                                                                                                                                                    ,7224515,9479,55681,10247
3s1rvMFUweQ                                                                                                                                                                                                                                                    ,1053632,2757,25561,2294
n1WpP7iowLc                                                                                                                                                                                                                                                    ,17158579,125882,787420,43420
PUTEiSjKwJU                                                                                                                                                                                                                                                    ,27833,37,193,12
rHwDegptbI4                                                                                                                                                                                                                                                    ,9815,30,30,2
AumaWl0TNBo                                                                                                                                                                                                                                                    ,1182775,2333,52708,1431
2Vv-BfVoq4g                                                                                                                                                                                                                                                    ,33523622,85067,1634124,21082
-N5eucPMTTc                                                                                                                                                                                                                                                    ,1164201,624,57309,749
LMCuKltaY3M                                                                                                                                                                                                                                                    ,154494,211,2163,147
9t9u_yPEidY                                                                                                                                                                                                                                                    ,9548677,11473,190084,15015
ONQ-fAp5X64                                                                                                                                                                                                                                                    ,306724,448,9591,266
Dlwf5u2BLAg                                                                                                                                                                                                                                                    ,254314,298,1746,125
NVCqz2BDfcQ                                                                                                                                                                                                                                                    ,946859,2006,37986,816
MyEqfBkzESU                                                                                                                                                                                                                                                    ,300617,2911,8133,2693
b4vTZx_AtHk                                                                                                                                                                                                                                                    ,2063667,11443,98804,11682
BsfhHKx6ajA                                                                                                                                                                                                                                                    ,728547,1143,12553,2146
DIU3xPdhCBI                                                                                                                                                                                                                                                    ,893462,943,22326,833
pz95u3UVpaM                                                                                                                                                                                                                                                    ,5476738,12254,286269,4083
jp9hK-jY6yY                                                                                                                                                                                                                                                    ,3371669,20086,202676,3394
gEHCXl4J9Qo                                                                                                                                                                                                                                                    ,2237404,3501,72593,1830
OWvCCu2t6Ts                                                                                                                                                                                                                                                    ,238843,650,10028,248
6p-QzY5bxJ0                                                                                                                                                                                                                                                    ,5541767,10706,263918,1502
fiusxyygqGk                                                                                                                                                                                                                                                    ,3407008,13279,207262,3167
QOksZ8VogRw                                                                                                                                                                                                                                                    ,626688,1392,25115,499
