video_id,title,publish_time
Jw1Y-zhQURU                                                                                                                                                                                                                                                    ,John Lewis Christmas Ad 2017 - #MozTheMonster                                                                                                                                                                                                                  ,2017-11-10 07:38:29
3s1rvMFUweQ                                                                                                                                                                                                                                                    ,Taylor Swift: …Ready for It? (Live) - SNL                                                                                                                                                                                                                      ,2017-11-12 06:24:44
n1WpP7iowLc                                                                                                                                                                                                                                                    ,Eminem - Walk On Water (Audio) ft. Beyoncé                                                                                                                                                                                                                     ,2017-11-10 17:00:03
PUTEiSjKwJU                                                                                                                                                                                                                                                    ,Goals from Salford City vs Class of 92 and Friends at The Peninsula Stadium!                                                                                                                                                                                   ,2017-11-13 02:30:38
rHwDegptbI4                                                                                                                                                                                                                                                    ,Dashcam captures truck's near miss with child in Norway                                                                                                                                                                                                        ,2017-11-13 01:45:13
AumaWl0TNBo                                                                                                                                                                                                                                                    ,How My Relationship Started!                                                                                                                                                                                                                                   ,2017-11-11 17:00:00
2Vv-BfVoq4g                                                                                                                                                                                                                                                    ,Ed Sheeran - Perfect (Official Music Video)                                                                                                                                                                                                                    ,2017-11-09 11:04:14
-N5eucPMTTc                                                                                                                                                                                                                                                    ,CHRISTMAS HAS GONE TO MY HEAD                                                                                                                                                                                                                                  ,2017-11-10 19:19:43
LMCuKltaY3M                                                                                                                                                                                                                                                    ,Elbow - Golden Slumbers (John Lewis Advert 2017)                                                                                                                                                                                                               ,2017-11-10 08:00:01
9t9u_yPEidY                                                                                                                                                                                                                                                    ,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin                                                                                                                                                                                                   ",2017-11-10 15:00:00
ONQ-fAp5X64                                                                                                                                                                                                                                                    ,CAN BABIES DO GYMNASTICS?  **World Record**                                                                                                                                                                                                                    ,2017-11-11 10:30:00
Dlwf5u2BLAg                                                                                                                                                                                                                                                    ,"TV Reporter Interviews Alleged Bank Robber, Then Helps Police Catch Him                                                                                                                                                                                        ",2017-11-10 01:40:07
NVCqz2BDfcQ                                                                                                                                                                                                                                                    ,Gucci Mane  - Curve (ft. The Weeknd)                                                                                                                                                                                                                           ,2017-11-10 17:18:13
MyEqfBkzESU                                                                                                                                                                                                                                                    ,EXTREME GOLDEN TAN TRANSFORMATION                                                                                                                                                                                                                              ,2017-11-10 20:40:44
b4vTZx_AtHk                                                                                                                                                                                                                                                    ,How To Dry a Shirt in 30 Seconds                                                                                                                                                                                                                               ,2017-11-09 18:36:48
BsfhHKx6ajA                                                                                                                                                                                                                                                    ,Attracting An Alpaca With An Accordion | Nowhere Else                                                                                                                                                                                                          ,2017-11-10 11:00:00
DIU3xPdhCBI                                                                                                                                                                                                                                                    ,Sam Smith surprises brides at their wedding! (At The BBC)                                                                                                                                                                                                      ,2017-11-09 22:26:10
pz95u3UVpaM                                                                                                                                                                                                                                                    ,Camila Cabello - Havana (Vertical Video) ft. Young Thug                                                                                                                                                                                                        ,2017-11-10 05:01:00
jp9hK-jY6yY                                                                                                                                                                                                                                                    ,When Someone Has A Crush on You | Lilly Singh                                                                                                                                                                                                                  ,2017-11-09 22:21:13
gEHCXl4J9Qo                                                                                                                                                                                                                                                    ,Taylor Swift - “New Year’s Day” Fan Performance                                                                                                                                                                                                                ,2017-11-10 02:32:15
OWvCCu2t6Ts                                                                                                                                                                                                                                                    ,SO Much To Tell You | 32 Weeks Pregnant | MOTHERHOOD                                                                                                                                                                                                           ,2017-11-10 16:59:50
6p-QzY5bxJ0                                                                                                                                                                                                                                                    ,The 'Stranger Things' Kids Were Nearly a Motown Super Group                                                                                                                                                                                                    ,2017-11-09 06:45:55
fiusxyygqGk                                                                                                                                                                                                                                                    ,Marshmello - You & Me (Official Music Video)                                                                                                                                                                                                                   ,2017-11-10 15:00:03
QOksZ8VogRw                                                                                                                                                                                                                                                    ,Bastille - World Gone Mad (from Bright: The Album) [Official Music Video]                                                                                                                                                                                      ,2017-11-09 17:03:42
lo5ERI5nPbM                                                                                                                                                                                                                                                    ,Sharon Needles - Andy Warhol Is Dead [Official]                                                                                                                                                                                                                ,2017-11-10 18:52:40
Ja_GMU7-sjs                                                                                                                                                                                                                                                    ,Google Pixelbook: $1000 of Weird!                                                                                                                                                                                                                              ,2017-11-09 21:18:33
_6ViZ13mN9I                                                                                                                                                                                                                                                    ,GSP and Tyron Woodley Talk About Their Potential Super Fight | The Hollywood Beatdown                                                                                                                                                                          ,2017-11-10 21:52:31
F62QpaPWXDI                                                                                                                                                                                                                                                    ,THE CHEAPEST & BEST EYESHADOWS?                                                                                                                                                                                                                                ,2017-11-09 18:18:59
g5c1bk8weaQ                                                                                                                                                                                                                                                    ,FIRST TIME IM DOING THIS! TALKS WITH LIZA.                                                                                                                                                                                                                     ,2017-11-10 03:43:43
3qYt_fXdaXY                                                                                                                                                                                                                                                    ,Sweetie destroys Flav (Sweetie vs. Flavor Flav)                                                                                                                                                                                                                ,2016-08-06 12:25:20
Y5MqpKlKiSM                                                                                                                                                                                                                                                    ,Decluttering My Life ✨                                                                                                                                                                                                                                         ,2017-11-10 15:42:33
xg9ebVTL9yE                                                                                                                                                                                                                                                    ,Empire Of The Sun - Way To Go                                                                                                                                                                                                                                  ,2017-11-10 05:00:06
J_QGZspO4gg                                                                                                                                                                                                                                                    ,Sia - Snowman                                                                                                                                                                                                                                                  ,2017-11-09 15:45:05
cUtYh_ZUjqc                                                                                                                                                                                                                                                    ,You Know You’re British When… | The December Issue | British Vogue                                                                                                                                                                                             ,2017-11-10 00:00:02
